Date,Count,temp,humidity,precip,precipcover,windgust,windspeed,winddir,cloudcover,visibility,uvindex,conditions,AQI
6/10/22,268,79.9,79.1,0.249,16.67,20.8,16.5,235.6,41.2,9.9,10,"Rain, Partially cloudy",22
6/11/22,350,79.4,79.3,0.045,12.5,20.3,11.2,184.2,37.6,9.9,9,"Rain, Partially cloudy",26
6/12/22,438,83.2,75.9,0.015,8.33,19.2,13.6,163.1,31.1,9.9,8,"Rain, Partially cloudy",27
6/13/22,343,85.1,76.3,0,0,19.7,12.7,111.2,23.8,9.9,8,Partially cloudy,26
6/14/22,350,84.9,77.1,0.013,4.17,21.9,11.7,115.1,17.4,9.7,8,Rain,25
6/15/22,465,84.5,72.9,0,0,21.9,13.3,93.5,19.4,9.6,9,Clear,28
6/16/22,488,85,72.1,0,0,21.9,13.6,78.2,17.8,9.9,9,Clear,28
6/17/22,560,84.2,74.5,0.203,16.67,24.2,13.1,60,27,9.8,8,"Rain, Partially cloudy",30
6/18/22,717,83.4,71.2,0,0,33.3,12,101.3,23.2,9.9,8,Partially cloudy,35
6/19/22,438,84.2,72.4,0,0,17.2,10.5,159.2,32.6,9.9,10,Partially cloudy,27
6/20/22,405,83.3,76.5,0.677,29.17,35.6,10.6,80.2,37.3,9.8,6,"Rain, Partially cloudy",26
6/21/22,405,82.5,73.7,0.087,8.33,24.8,17.6,42.6,43.2,9.8,8,"Rain, Partially cloudy",26
6/22/22,386,82,64.8,0.036,4.17,21.9,14,71.9,64.8,9.9,9,"Rain, Partially cloudy",26
6/23/22,416,82.2,65.8,0,0,17.2,10.9,128.6,14.4,9.9,10,Clear,26
6/24/22,476,85.2,68.6,0.006,8.33,17.9,13.1,186.7,23,9.9,9,"Rain, Partially cloudy",27
6/25/22,449,83,78.5,0,0,29.8,12.5,247.8,38.8,9.8,6,Partially cloudy,26
6/26/22,447,83.8,77.7,0.013,4.17,17.2,13.1,129.9,29.3,9.9,9,"Rain, Partially cloudy",26
6/27/22,384,84.4,75,0,0,23,16.4,111.6,20.7,9.9,10,Partially cloudy,26
6/28/22,285,84.1,73.5,0.168,12.5,20.4,13.5,105.8,35.6,9.9,10,"Rain, Partially cloudy",22
6/29/22,259,83.8,77.1,0,0,19.7,11.2,122.2,39.2,9.9,7,Partially cloudy,22
6/30/22,272,85.4,76.3,0,0,21.9,14.6,125.4,36.7,9.9,9,Partially cloudy,22
7/1/22,480,86,72.4,0,0,23,16.1,119.1,38.3,9.9,9,Partially cloudy,28
7/2/22,368,85.7,72.9,0.327,16.67,27.7,14,128.7,41.9,9.8,10,"Rain, Partially cloudy",25
7/3/22,407,86,69.2,0,0,20.8,14.8,114,29,9.9,9,Partially cloudy,27
7/4/22,284,85.1,73.2,0.01,8.33,20.8,13.7,92.9,42.3,9.8,10,"Rain, Partially cloudy",21
7/5/22,358,84.9,79.5,0.148,12.5,20.8,13.5,103.8,44.4,9.8,9,"Rain, Partially cloudy",26
7/6/22,389,85.5,74.8,0.007,8.33,20.1,15.8,136.2,43.4,9.9,8,"Rain, Partially cloudy",26
7/7/22,318,85.2,69.7,0.039,8.33,23,14.2,115.4,37.7,9.9,10,"Rain, Partially cloudy",25
7/8/22,379,85.9,73.6,0.055,16.67,24.2,16.1,119.2,34.2,9.9,9,"Rain, Partially cloudy",26
7/9/22,516,86.2,74.7,0,0,25.3,18.2,153.5,30.5,9.9,8,Partially cloudy,29
7/10/22,343,84.9,75.6,0.345,29.17,27.7,15.2,173.2,27.2,9.8,7,"Rain, Partially cloudy",25
7/11/22,301,84.4,76.1,0.049,4.17,25.3,16.9,166.4,27.5,9.9,9,"Rain, Partially cloudy",24
7/12/22,265,85.7,75,0,0,24.2,16.1,141.6,15.9,9.9,8,Clear,24
7/13/22,343,86.4,74.9,0,0,20.8,14.5,137.5,25.6,9.9,10,Partially cloudy,26
7/14/22,352,85.7,72,0,0,23,15.3,135.1,21.7,9.9,9,Partially cloudy,26
7/15/22,314,84.1,72.3,0.022,4.17,32,21,88.9,34.1,9.9,10,"Rain, Partially cloudy",24
7/16/22,435,83.6,76.7,0.292,16.67,29.8,14.5,117.1,48.9,9.7,10,"Rain, Partially cloudy",27
7/17/22,178,83.7,83.3,0.333,16.67,33.3,23,142,44.7,9.7,8,"Rain, Partially cloudy",16
7/18/22,257,86,79.3,0.362,16.67,23,17.1,150.3,34.9,9.6,10,"Rain, Partially cloudy",23
7/19/22,345,85.6,75.5,0,0,20.8,13,130.4,25.3,9.9,9,Partially cloudy,27
7/20/22,408,86,74.9,0,0,19.7,13.3,115.3,23.4,9.9,10,Partially cloudy,29
7/21/22,331,85.8,73.2,0.172,8.33,29.8,14.7,118.2,30.6,9.8,9,"Rain, Partially cloudy",28
7/22/22,282,84.9,79.1,0.305,25,35.6,15.1,122.3,45.2,9.7,10,"Rain, Partially cloudy",26
7/23/22,457,84.4,79.3,0.072,8.33,32.2,15.6,101.7,37.6,9.9,10,"Rain, Partially cloudy",25
7/24/22,512,85.6,74.1,0.02,12.5,32.2,15,99.5,29.7,9.9,9,"Rain, Partially cloudy",30
7/25/22,340,85.8,73,0,0,24.2,15.8,95.3,42,9.9,7,Partially cloudy,26
7/26/22,98,82.3,80.8,0.39,45.83,33.3,16.7,104.7,55.8,9.1,5,"Rain, Partially cloudy",13
7/27/22,421,84.4,75.5,0,0,35.6,14.4,120.5,36.7,9.9,9,Partially cloudy,28
7/28/22,419,85.7,70,0,0,21.9,13.7,95.6,28.1,9.9,9,Partially cloudy,27
7/29/22,574,86.2,67.6,0,0,24.5,16.1,98.3,29.2,9.9,9,Partially cloudy,31
7/30/22,668,86.5,65.9,0,0,23.7,15.8,103.2,31,9.9,9,Partially cloudy,34
7/31/22,607,86.3,69,0.079,12.5,26.4,16.4,100.3,42.2,9.9,8,"Rain, Partially cloudy",34
8/1/22,473,86.5,72.5,0.066,4.17,28.2,13.4,114.9,39.7,9.9,10,"Rain, Partially cloudy",29
8/2/22,362,85.7,70.3,0,0,27.5,17.3,107.3,30.8,9.9,9,Partially cloudy,26
8/3/22,489,84.3,67.4,0,0,33.3,13.7,101.2,23.9,9.9,10,Partially cloudy,28
8/4/22,432,86.3,67.5,0,0,23.3,15.3,109.5,28.6,9.9,9,Partially cloudy,28
8/5/22,537,85.9,70.2,0.074,4.17,33.3,17.2,99.1,38.4,9.9,9,"Rain, Partially cloudy",31
8/6/22,521,86.1,67.9,0.101,20.83,35.7,18.7,90.9,36.7,9.7,9,"Rain, Partially cloudy",31
8/7/22,402,84,73.8,0.311,29.17,39.1,17.4,93.8,39.9,9.7,8,"Rain, Partially cloudy",27
8/8/22,312,85.5,70.6,0,0,24.2,15.2,96.9,37.9,9.9,8,Partially cloudy,25
8/9/22,345,86.3,72.3,0.024,4.17,25.9,17.8,105.2,53.3,9.7,9,"Rain, Partially cloudy",26
8/10/22,591,86.6,68.3,0,0,24.2,17.1,112.8,29.1,9.9,10,Partially cloudy,33
8/11/22,535,85.8,68,0,0,21.1,12.7,100.2,34.2,9.9,9,Partially cloudy,31
8/12/22,530,84.9,70.2,0.157,4.17,34.4,12.9,108.3,31.8,9.9,9,"Rain, Partially cloudy",31
8/13/22,364,81.7,77.3,0.251,16.67,14.8,8.5,164.2,37.3,9.8,6,"Rain, Partially cloudy",26
8/14/22,359,80.8,78.6,0.93,8.33,20.8,14,235.5,40.8,9.7,9,"Rain, Partially cloudy",25
8/15/22,305,82.3,77.6,0.01,8.33,19.7,11.4,166,27.3,9.9,9,"Rain, Partially cloudy",24
8/16/22,280,82.9,77.7,0.216,12.5,36.7,14.2,214.7,32.8,9.8,10,"Rain, Partially cloudy",18
8/17/22,371,86,71.2,0.025,4.17,23,13.3,256.8,27.4,9.9,9,"Rain, Partially cloudy",26
8/18/22,368,86.1,70.3,0.06,4.17,23,14.2,232.4,30.9,9.9,10,"Rain, Partially cloudy",25
8/19/22,468,86.5,71.1,0,0,16.6,13.2,118.1,17.6,9.9,9,Clear,31
8/20/22,593,87.5,71.5,0,0,28.9,13.3,91.6,34.7,9.9,9,Partially cloudy,31
8/21/22,619,87.4,68.6,0,0,21.9,13.5,91.5,36.2,9.9,10,Partially cloudy,35
8/22/22,347,86.7,70.4,0.069,8.33,18.3,14.5,104.2,37.9,9.9,10,"Rain, Partially cloudy",25
8/23/22,325,86.3,71.2,0.246,8.33,15.7,12.8,97.8,35,9.8,8,"Rain, Partially cloudy",25
8/24/22,413,86.6,70.8,0,0,18.3,14.7,101.8,28.2,9.9,9,Partially cloudy,30
8/25/22,327,87.2,69.1,0,0,27.7,15,130.8,27.3,9.9,9,Partially cloudy,25
8/26/22,410,87,70,0,0,15.4,12.7,111.5,25.1,9.9,10,Partially cloudy,28
8/27/22,443,85.6,71.1,0,0,15.2,12.5,128.3,30.9,9.9,8,Partially cloudy,28
8/28/22,320,85.1,71.3,0,0,20.8,14,136.4,34,9.9,8,Partially cloudy,26
8/29/22,210,84.1,74.3,0.013,12.5,32,14.5,140.9,45.7,9.9,8,"Rain, Partially cloudy",19
8/30/22,312,87,68.3,0,0,25.3,14.7,141.9,33,9.9,9,Partially cloudy,23
8/31/22,259,86,70.9,0,0,18.3,11.7,127.6,36.6,9.9,7,Partially cloudy,22
9/1/22,304,84.8,72.1,0,0,23,11.5,138.1,26.6,9.9,9,Partially cloudy,21
9/2/22,491,85.5,69.7,0,0,20.8,15.7,96.2,20.9,9.9,10,Partially cloudy,28
9/3/22,497,86.1,69.6,0,0,19.7,12.5,76.5,24.9,9.9,9,Partially cloudy,29
9/4/22,507,87,66.5,0,0,19.5,12.7,80.6,20.8,9.9,10,Partially cloudy,30
9/5/22,473,87,70.6,0,0,18.3,10.8,98.3,26,9.9,9,Partially cloudy,28
9/6/22,332,86.9,70.6,0,0,18.3,11.7,101.9,28.3,9.9,9,Partially cloudy,36
9/7/22,405,86.1,70.4,0,0,13.6,12.2,115.4,27.9,9.9,8,Partially cloudy,28
9/8/22,242,83.6,75.9,0.145,20.83,35.6,14,191.6,33.7,9.7,8,"Rain, Partially cloudy",24
9/9/22,209,81.6,82.1,0.592,37.5,23.7,10.7,200.2,42,9.4,6,"Rain, Partially cloudy",22
